date,code,open,high,low,close,volume,amount,turn,adjustflag
2016-08-18,sh.603986,27.9100000000,33.4900000000,27.9100000000,33.4900000000,7400,247268.0000,0.029600,1
2016-08-19,sh.603986,36.8400000000,36.8400000000,36.8400000000,36.8400000000,500,18420.0000,0.002000,1
2016-08-22,sh.603986,40.5200000000,40.5200000000,40.5200000000,40.5200000000,2900,117508.0000,0.011600,1
2016-08-23,sh.603986,44.5700000000,44.5700000000,44.5700000000,44.5700000000,1100,49027.0000,0.004400,1
2016-08-24,sh.603986,49.0300000000,49.0300000000,49.0300000000,49.0300000000,4600,225538.0000,0.018400,1
2016-08-25,sh.603986,53.9300000000,53.9300000000,53.9300000000,53.9300000000,7160,386139.0000,0.028640,1
2016-08-26,sh.603986,59.3200000000,59.3200000000,59.3200000000,59.3200000000,5500,326260.0000,0.022000,1
2016-08-29,sh.603986,65.2500000000,65.2500000000,65.2500000000,65.2500000000,14033,915653.0000,0.056132,1
2016-08-30,sh.603986,71.7800000000,71.7800000000,71.7800000000,71.7800000000,15119,1085242.0000,0.060476,1
2016-08-31,sh.603986,78.9600000000,78.9600000000,78.9600000000,78.9600000000,28064,2215933.0000,0.112256,1
2016-09-01,sh.603986,86.8600000000,86.8600000000,86.8600000000,86.8600000000,12812,1112850.0000,0.051248,1
2016-09-02,sh.603986,95.5500000000,95.5500000000,95.5500000000,95.5500000000,69312,6622762.0000,0.277248,1
2016-09-05,sh.603986,105.1100000000,105.1100000000,105.1100000000,105.1100000000,69519,7307142.0000,0.278076,1
2016-09-06,sh.603986,115.6200000000,115.6200000000,115.6200000000,115.6200000000,54608,6313777.0000,0.218432,1
2016-09-07,sh.603986,127.1800000000,127.1800000000,127.1800000000,127.1800000000,136628,17376349.0000,0.546512,1
2016-09-08,sh.603986,139.9000000000,139.9000000000,139.9000000000,139.9000000000,174488,24410871.0000,0.697952,1
2016-09-09,sh.603986,153.8900000000,153.8900000000,153.8900000000,153.8900000000,181192,27883637.0000,0.724768,1
2016-09-12,sh.603986,169.2800000000,169.2800000000,169.2800000000,169.2800000000,4883134,826616928.0000,19.532536,1
2016-09-13,sh.603986,183.7900000000,183.7900000000,168.3300000000,171.3400000000,15950837,2822922752.0000,63.803348,1
2016-09-14,sh.603986,177.0800000000,188.4700000000,177.0100000000,177.9700000000,10410979,1887215104.0000,41.643916,1
2016-09-19,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-09-20,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-09-21,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-09-22,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-09-23,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-09-26,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-09-27,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-09-28,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-09-29,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-09-30,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-10-10,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-10-11,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-10-12,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-10-13,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-10-14,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-10-17,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-10-18,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-10-19,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-10-20,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-10-21,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-10-24,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-10-25,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-10-26,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-10-27,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-10-28,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-10-31,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-11-01,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-11-02,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-11-03,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-11-04,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-11-07,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-11-08,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-11-09,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-11-10,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-11-11,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-11-14,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-11-15,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-11-16,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-11-17,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-11-18,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-11-21,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-11-22,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-11-23,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-11-24,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-11-25,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-11-28,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-11-29,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-11-30,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-12-01,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-12-02,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-12-05,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-12-06,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-12-07,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-12-08,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-12-09,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-12-12,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-12-13,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-12-14,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-12-15,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-12-16,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-12-19,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-12-20,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-12-21,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-12-22,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-12-23,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-12-26,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-12-27,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-12-28,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-12-29,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2016-12-30,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2017-01-03,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2017-01-04,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2017-01-05,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2017-01-06,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2017-01-09,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2017-01-10,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2017-01-11,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2017-01-12,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2017-01-13,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2017-01-16,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2017-01-17,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2017-01-18,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2017-01-19,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2017-01-20,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2017-01-23,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2017-01-24,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2017-01-25,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2017-01-26,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2017-02-03,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2017-02-06,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2017-02-07,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2017-02-08,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2017-02-09,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2017-02-10,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
2017-02-13,sh.603986,177.9700000000,177.9700000000,177.9700000000,177.9700000000,0,0.0000,,1
