date,code,open,high,low,close,volume,amount,turn,adjustflag
2016-03-03,sz.300502,25.7600000000,30.9200000000,25.7600000000,30.9200000000,9700,296054.0000,0.050000,1
2016-03-04,sz.300502,34.0100000000,34.0100000000,34.0100000000,34.0100000000,3915,133149.0000,0.020180,1
2016-03-07,sz.300502,37.4100000000,37.4100000000,37.4100000000,37.4100000000,1800,67338.0000,0.009278,1
2016-03-08,sz.300502,41.1500000000,41.1500000000,41.1500000000,41.1500000000,13300,547295.0000,0.068557,1
2016-03-09,sz.300502,45.2700000000,45.2700000000,45.2700000000,45.2700000000,25900,1172493.0000,0.133505,1
2016-03-10,sz.300502,49.8000000000,49.8000000000,49.8000000000,49.8000000000,18165,904617.0000,0.093634,1
2016-03-11,sz.300502,54.7800000000,54.7800000000,54.7800000000,54.7800000000,34635,1897305.0000,0.178531,1
2016-03-14,sz.300502,60.2600000000,60.2600000000,60.2600000000,60.2600000000,67982,4096595.0000,0.350423,1
2016-03-15,sz.300502,66.2900000000,66.2900000000,66.2900000000,66.2900000000,194024,12861850.0000,1.000124,1
2016-03-16,sz.300502,72.9200000000,72.9200000000,72.9200000000,72.9200000000,714499,52101267.0000,3.682985,1
2016-03-17,sz.300502,73.0000000000,80.2100000000,70.1000000000,80.2100000000,13608544,1026273696.0000,70.147134,1
2016-03-18,sz.300502,77.0000000000,81.8800000000,76.3300000000,79.8500000000,10974220,863982768.0000,56.568144,1
2016-03-21,sz.300502,80.8000000000,85.0000000000,79.2300000000,80.5000000000,7868909,638283968.0000,40.561387,1
2016-03-22,sz.300502,80.1100000000,87.7700000000,79.8000000000,83.0000000000,8680321,723377280.0000,44.743923,1
2016-03-23,sz.300502,82.0000000000,82.5000000000,79.3600000000,82.3500000000,6062705,491890912.0000,31.251057,1
2016-03-24,sz.300502,80.7000000000,84.8000000000,79.5000000000,82.3300000000,6011420,491307408.0000,30.986701,1
2016-03-25,sz.300502,82.0000000000,88.8000000000,81.0300000000,87.1600000000,7198564,615087552.0000,37.106000,1
2016-03-28,sz.300502,88.0000000000,89.6800000000,81.5800000000,82.7200000000,6483135,560086048.0000,33.418222,1
2016-03-29,sz.300502,82.0000000000,84.6600000000,78.3000000000,79.4000000000,5201470,422361504.0000,26.811701,1
2016-03-30,sz.300502,80.5000000000,82.7800000000,79.0100000000,82.5000000000,4040756,326943408.0000,20.828639,1
2016-03-31,sz.300502,83.2000000000,86.4700000000,82.6000000000,86.4700000000,4993540,423567552.0000,25.739897,1
2016-04-01,sz.300502,86.0000000000,92.9800000000,85.0700000000,90.2100000000,6214631,556181504.0000,32.034180,1
2016-04-05,sz.300502,88.6000000000,92.6600000000,86.9000000000,92.1200000000,4786936,430438416.0000,24.674928,1
2016-04-06,sz.300502,91.0000000000,95.4900000000,89.8500000000,92.1300000000,4403511,406497296.0000,22.698510,1
2016-04-07,sz.300502,91.1000000000,91.9000000000,87.2100000000,87.7400000000,3957435,352272416.0000,20.399149,1
2016-04-08,sz.300502,86.8000000000,91.5200000000,86.0300000000,91.3000000000,3499313,312720960.0000,18.037696,1
2016-04-11,sz.300502,91.3500000000,95.5500000000,90.0000000000,94.1800000000,4213169,388228224.0000,21.717366,1
2016-04-12,sz.300502,93.0000000000,93.2900000000,85.0000000000,87.9800000000,4139252,371676560.0000,21.336351,1
2016-04-13,sz.300502,88.0000000000,89.9900000000,87.8500000000,88.0200000000,2867429,255044615.0000,14.780562,1
2016-04-14,sz.300502,88.6600000000,94.7400000000,88.6400000000,93.6500000000,5353107,493513920.0000,27.593335,1
