date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,tradestatus,isST
2021-01-04,sh.601318,214.97457921,215.07352045,208.0239571,210.69537058,215.14772638,103643104,8814286886.16,0.9568,-2.0694,1,0
2021-01-05,sh.601318,209.0133695,209.0133695,204.93204335,208.44445737,210.69537058,105478627,8795809651.69,0.9737,-1.0683,1,0
2021-01-06,sh.601318,208.49392799,212.08054794,206.66351505,212.08054794,208.44445737,93759848,7950362262.5,0.8655,1.7444,1,0
2021-01-07,sh.601318,212.40210697,214.60354956,208.5186633,213.36678406,212.08054794,106968724,9137580589.15,0.9875,0.6065,1,0
2021-01-08,sh.601318,213.26784282,215.84031506,210.76957651,212.9710191,213.36678406,116936795,10069057405.04,1.0795,-0.1855,1,0
2021-01-11,sh.601318,213.2183722,214.2077846,207.776604,207.85080993,212.9710191,109860234,9329271307.38,1.0142,-2.4042,1,0
2021-01-12,sh.601318,207.47978028,217.22549242,206.11933823,217.22549242,207.85080993,146755609,12534640503.8,1.3548,4.5103,1,0
2021-01-13,sh.601318,219.6495528,220.83684768,214.77669673,216.53290374,217.22549242,139094339,12223230668.71,1.284,-0.3188,1,0
2021-01-14,sh.601318,218.6601404,218.95696412,209.95331128,210.91798837,216.53290374,137927380,11920236040.39,1.2733,-2.5931,1,0
2021-01-15,sh.601318,212.57525414,219.27852315,210.91798837,214.9498439,210.91798837,158708501,13814609039.61,1.4651,1.9116,1,0
2021-01-18,sh.601318,215.197197,216.80499215,210.9921943,215.6919032,214.9498439,116241991,10058906404.36,1.0731,0.3452,1,0
2021-01-19,sh.601318,216.63184498,218.04175765,212.82260724,214.7024908,215.6919032,110332831,9590457419.96,1.0185,-0.4587,1,0
2021-01-20,sh.601318,215.49402072,216.01346223,210.02751721,210.7448412,214.7024908,131977553,11316059444.32,1.2183,-1.8433,1,0
2021-01-21,sh.601318,211.14060616,211.26428271,207.2818978,208.86495764,210.7448412,139305540,11761468221.75,1.286,-0.892,1,0
2021-01-22,sh.601318,210.250135,210.62116465,206.58930912,207.2818978,208.86495764,116275248,9781081768.73,1.0734,-0.7579,1,0
2021-01-25,sh.601318,207.0345447,209.95331128,204.26418998,209.95331128,207.2818978,127980118,10711676899.14,1.1814,1.2888,1,0
2021-01-26,sh.601318,209.0133695,209.95331128,205.00624928,205.303073,209.95331128,105139741,8787960589.57,0.9706,-2.2149,1,0
2021-01-27,sh.601318,205.25360238,207.55398621,204.26418998,205.40201424,205.303073,68273775,5679886868.66,0.6303,0.0482,1,0
2021-01-28,sh.601318,203.3242482,204.26418998,199.49027515,200.15812852,205.40201424,106108731,8642469570.24,0.9795,-2.553,1,0
2021-01-29,sh.601318,200.1086579,201.44436464,194.1721835,195.60683148,200.15812852,126980032,10098743883.41,1.1722,-2.2739,1,0
2021-02-01,sh.601318,195.6563021,197.23936194,193.85062447,196.07680237,195.60683148,72490144,5729483191.82,0.6692,0.2403,1,0
2021-02-02,sh.601318,196.10153768,196.52203795,192.81174145,193.38065358,196.07680237,98836447,7742175158.83,0.9124,-1.375,1,0
2021-02-03,sh.601318,192.29229994,192.29229994,186.2568843,189.32406274,193.38065358,134384298,10255482626.32,1.2405,-2.0977,1,0
2021-02-04,sh.601318,192.935418,198.67400992,192.1933587,196.94253822,189.32406274,141654771,11200715085.81,1.3077,4.024,1,0
