date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,tradestatus,isST
2021-01-04,sz.000001,1905.9384423,1905.9384423,1840.07878932,1856.0447658,1929.88740702,155421643,2891682312.05,0.8009,-3.8263,1,0
2021-01-05,sz.000001,1836.0872952,1844.07028344,1776.2148834,1813.13620401,1856.0447658,182135210,3284606913.91,0.9386,-2.3118,1,0
2021-01-06,sz.000001,1804.15534224,1951.84062468,1796.172354,1951.84062468,1813.13620401,193494512,3648521909.1,0.9971,7.65,1,0
2021-01-07,sz.000001,1947.84913056,1993.75131294,1918.91079819,1985.7683247,1951.84062468,158418530,3111274625.37,0.8163,1.7382,1,0
2021-01-08,sz.000001,1985.7683247,2005.7257953,1926.89378643,1980.77895705,1985.7683247,119547322,2348316363.18,0.616,-0.2513,1,0
2021-01-11,sz.000001,1995.74706,2059.61096592,1995.74706,2033.66625414,1980.77895705,179045714,3652546646.82,0.9226,2.67,1,0
2021-01-12,sz.000001,2034.66412767,2095.534413,2013.70878354,2095.534413,2033.66625414,128816550,2657687440.67,0.6638,3.0422,1,0
2021-01-13,sz.000001,2095.534413,2096.53228653,2035.6620012,2065.5982071,2095.534413,104911973,2161849708.04,0.5406,-1.4286,1,0
2021-01-14,sz.000001,2063.60246004,2084.55780417,1990.75769235,2012.71091001,2065.5982071,113015562,2306404546.81,0.5824,-2.5604,1,0
2021-01-15,sz.000001,2095.534413,2190.33239835,2077.57268946,2095.534413,2012.71091001,248068898,5311218074.76,1.2783,4.115,1,0
2021-01-18,sz.000001,2115.4918836,2273.15590134,2115.4918836,2265.1729131,2095.534413,215730178,4792909447.95,1.1117,8.0952,1,0
2021-01-19,sz.000001,2246.21331603,2279.14314252,2200.31113365,2229.24946602,2265.1729131,124208834,2790056611.29,0.6401,-1.5859,1,0
2021-01-20,sz.000001,2210.28986895,2292.11549841,2207.29624836,2242.22182191,2229.24946602,128079316,2889249850.45,0.66,0.5819,1,0
2021-01-21,sz.000001,2245.2154425,2275.1516484,2210.28986895,2218.27285719,2242.22182191,94477860,2114252731.64,0.4869,-1.0681,1,0
2021-01-22,sz.000001,2218.27285719,2218.27285719,2146.42596303,2198.31538659,2218.27285719,92443442,2025834761.54,0.4764,-0.8997,1,0
2021-01-25,sz.000001,2167.38130716,2255.1941778,2138.44297479,2244.21756897,2198.31538659,102836527,2269032820.67,0.5299,2.0881,1,0
2021-01-26,sz.000001,2225.2579719,2327.04107196,2225.2579719,2232.24308661,2244.21756897,112672055,2558575511.97,0.5806,-0.5336,1,0
2021-01-27,sz.000001,2226.25584543,2342.00917491,2226.25584543,2303.09210724,2232.24308661,129415272,2976800955.73,0.6669,3.1739,1,0
2021-01-28,sz.000001,2273.15590134,2313.07084254,2240.22607485,2276.14952193,2303.09210724,85747696,1948881146.95,0.4419,-1.1698,1,0
2021-01-29,sz.000001,2276.14952193,2348.99428962,2266.17078663,2304.08998077,2276.14952193,124025841,2864101419.33,0.6391,1.2275,1,0
2021-02-01,sz.000001,2295.109119,2493.68595147,2265.1729131,2449.77951615,2304.08998077,147523930,3529556986.77,0.7602,6.3231,1,0
2021-02-02,sz.000001,2333.02831314,2404.8752073,2286.12825723,2323.04957784,2449.77951615,241616877,5679179941.74,1.2451,-5.1731,1,0
2021-02-03,sz.000001,2343.00704844,2512.64554854,2333.02831314,2489.69445735,2323.04957784,192327159,4690176486.28,0.9911,7.1735,1,0
2021-02-04,sz.000001,2412.85819554,2518.63278972,2398.88796612,2454.7688838,2489.69445735,125524750,3084553750.95,0.6468,-1.4028,1,0
2021-02-05,sz.000001,2454.7688838,2525.61790443,2421.83905731,2487.69871029,2454.7688838,101557559,2517804159.63,0.5233,1.3415,1,0
2021-02-08,sz.000001,2484.7050897,2484.7050897,2404.8752073,2474.7263544,2487.69871029,108426467,2650948251.38,0.5587,-0.5215,1,0
2021-02-09,sz.000001,2473.72848087,2478.71784852,2411.86032201,2452.77313674,2474.7263544,94209355,2302978158.4,0.4855,-0.8871,1,0
2021-02-10,sz.000001,2454.7688838,2490.69233088,2333.02831314,2376.93474846,2452.77313674,191886710,4569741959.9,0.9888,-3.0919,1,0
2021-02-18,sz.000001,2394.896472,2449.77951615,2343.00704844,2424.8326779,2376.93474846,150523081,3619387651.71,0.7757,2.0151,1,0
2021-02-19,sz.000001,2390.90497788,2413.85606907,2351.98791021,2379.92836905,2424.8326779,92258314,2197558286.91,0.4754,-1.8519,1,0
