股票代码,主营业务,产品类型,产品名称,经营范围,股票名称
301686,改性工程塑料的研发、生产及销售。,高性能工程材料、特种功能材料、其他材料,低温抗冲击PC材料、PC/ABS合金材料、PC增强材料、PC阻燃材料、PBT合金材料、PET合金材料、可激光直接成型材料（LDS材料）、纳米注塑专用工程材料（NMT材料）、超耐高温特种尼龙材料、改性通用塑料,一般项目：生物基材料制造；生物基材料销售；新型膜材料制造；新型膜材料销售；生态环境材料制造；生态环境材料销售；工程塑料及合成树脂制造；工程塑料及合成树脂销售；高性能纤维及复合材料制造；高性能纤维及复合材料销售；合成纤维制造；合成纤维销售；合成材料制造（不含危险化学品）；合成材料销售；电子专用材料制造；电子专用材料销售；石墨及碳素制品制造；石墨及碳素制品销售；化工产品生产（不含许可类化工产品）；化工产品销售（不含许可类化工产品）；塑料制品制造；塑料制品销售；橡胶制品制造；橡胶制品销售；再生资源回收（除生产性废旧金属）；再生资源加工；再生资源销售；物业管理；住房租赁；非居住房地产租赁；机械设备租赁；以自有资金从事投资活动；新材料技术研发；新材料技术推广服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；货物进出口；技术进出口。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,N中塑
920229,数码喷墨印花机、数码打印机、瓦楞彩箱数码印刷机等数码喷印设备及相关配件的研发、生产和销售。,数码喷墨印花机、数码打印机、瓦楞彩箱数码印刷机,数码喷墨印花机、数码打印机、瓦楞彩箱数码印刷机,彩色数码打印设备及配件、耗材、电子产品的技术开发、生产及销售；软件的设计、开发及销售；第一、二、三类医疗器械的研发、生产、销售；销售：机械设备、劳保用品、卫生用品、保健用品、医用设备技术咨询服务；货物进出口、技术进出口；普通货物道路运输。,N世纪
920526,电子元器件封装材料的研发、生产与销售。,环氧粉末包封料、环氧塑封料,环氧粉末包封料、环氧塑封料,电子专用材料产品、电子粉末包封料产品、半导体封装材料产品的加工、制造、销售及相关技术研究、开发、转让、服务、咨询（中介除外）；五金交电化工（危险品及易制毒品除外）批发；自营和代理各类商品和技术的进出口（国家限定公司经营或禁止进出口的商品和技术除外）；普通货运、货物专用运输（集装箱）（许可经营项目的经营期限以许可证为准）（涉及国家有专项专营规定的，按规定执行；涉及行业许可的，凭许可证或批准文件经营）；机器设备租赁；自有房屋租赁。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,凯华材料
300110,原料药、制剂、医疗器械、医用包材、大健康产品的研发、生产、销售。,基础输液、治疗制剂、腹透液,基础输液、治疗制剂、腹透液,许可项目：药品生产；药品批发；药品零售；药品进出口；药品委托生产；第二类医疗器械生产；第三类医疗器械生产；第三类医疗器械经营；卫生用品和一次性使用医疗用品生产；化妆品生产；食品生产；食品销售；道路货物运输（不含危险货物）；城市配送运输服务（不含危险货物）。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：第一类医疗器械生产；第一类医疗器械销售；第二类医疗器械销售；医用包装材料制造；包装材料及制品销售；包装服务；橡胶制品制造；橡胶制品销售；模具制造；化妆品批发；化妆品零售；卫生用品和一次性使用医疗用品销售；日用口罩（非医用）生产；日用口罩（非医用）销售；劳动保护用品生产；劳动保护用品销售；产业用纺织制成品制造；产业用纺织制成品销售；货物进出口；技术进出口；互联网销售（除销售需要许可的商品）；装卸搬运；有色金属合金制造；机械零件、零部件加工。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,华仁药业
688781,微显示整体解决方案，并为客户提供包括战略产品开发、光学系统和AI眼镜整体解决方案等增值服务。,VR、AR、热像、夜视,VR、AR、热像、夜视,半导体器件、微显示器件、光学元件等产品的研发、制造、销售；电子产品设计、生产及销售；企业管理咨询及服务；技术开发、技术咨询、技术服务、技术转让；货物或技术进出口（国家禁止或涉及行政审批的货物和技术进出口除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,视涯科技-UW
301047,生物试剂研发、生产、销售并提供技术服务。,重组蛋白、抗体、基因、培养基、CRO服务,重组蛋白、抗体、基因、培养基、CRO服务,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；工程和技术研究和试验发展；专用化学产品制造（不含危险化学品）；专用化学产品销售（不含危险化学品）；货物进出口；技术进出口；进出口代理；非居住房地产租赁；物业管理；水环境污染防治服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：检验检测服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,义翘神州
301234,一次性使用无菌输注类医疗器械的研发、制造和销售，以及其他诊断、护理等相关医疗用品的集成供应。,注射器、输液输血器、医用穿刺针,注射器、安全型注射器、胰岛素注射器、配药注射器、输液器、输血器、注射针、静脉输液针、采血针、胰岛素注射笔用针头、安全注射针、安全采血针、血压表、面罩,生产、销售第一类、第二类、第三类医疗器械；软聚氯乙烯塑料、塑料制品、不锈钢坯料管、不锈钢毛细管的生产和销售；自营和代理货物或技术进出口业务（国家限制和禁止的项目除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,五洲医疗
300324,嵌入式系统测试产品及服务，电子元器件测试、筛选及可靠性保障服务，健康管理装备研制，通信产品研制，智能产品研制。,行业数字化、行业数据智能、安全可信相关产品,数据高速采集转换产品、新一代总线产品、控制和执行类产品、数字智能终端设备产品、装备智能保障类产品、高速数据处理类产品、云服务和平台类产品、数字孪生类产品、城市精细化管理和监测产品、加密和密码类产品、面向装备的安全可信产品、通信安全类产品、可信计算类产品、装备一致性检测、元器件可靠性和安全性检测筛选、税务数字共享产品,许可项目：互联网信息服务；检验检测服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；计算机软硬件及辅助设备批发；电子产品销售；机械电气设备销售；机械设备销售；通讯设备销售；物联网设备销售；集成电路销售；网络与信息安全软件开发；工业控制计算机及系统销售；信息技术咨询服务；计算机系统服务；技术进出口；进出口代理；停车场服务；电子（气）物理设备及其他电子设备制造；卫星导航服务；卫星技术综合应用系统集成；软件开发；信息系统集成服务；物联网技术服务；商用密码产品生产；电子元器件与机电组件设备制造；环境保护专用设备制造；安防设备制造；信息安全设备制造；通信设备制造；虚拟现实设备制造；智能家庭消费设备制造；智能车载设备制造；智能无人飞行器制造；电子元器件制造；供应用仪器仪表制造；电子测量仪器制造；计量技术服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动）。,旋极信息
688105,酶、抗原、抗体等生物制品的研发、生产和销售。,生物试剂、诊断试剂、仪器设备、耗材、技术服务,生物试剂、诊断试剂、仪器设备、耗材、技术服务,生物试剂、酶制试剂研发、生产、销售、技术咨询及技术服务；生化试剂及耗材、机电设备、电子产品销售；自营和代理各类商品及技术的进出口业务（国家限定企业经营或禁止进出口商品和技术的除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）一般项目：实验分析仪器销售；实验分析仪器制造；机械设备研发；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,诺唯赞
688365,基于电商业务场景为电商商家提供SaaS服务及增值服务。,SaaS产品、配套硬件、CRM短信、运营服务,SaaS产品、配套硬件、CRM短信、运营服务,一般项目：软件开发；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；计算机软硬件及外围设备制造；计算机软硬件及辅助设备批发；计算机及办公设备维修；信息系统集成服务；通信设备销售；信息技术咨询服务；广告设计、代理；数据处理服务；广告制作；广告发布；图文设计制作；市场营销策划；摄像及视频制作服务；网络技术服务；计算机系统服务；通信设备制造；电子产品销售；信息咨询服务（不含许可类信息咨询服务）；专业设计服务；计算机软硬件及辅助设备零售；纸制品销售；家用电器销售；办公设备销售；办公设备耗材销售；货物进出口；技术进出口；非居住房地产租赁；租赁服务（不含许可类租赁服务）；创业空间服务；园区管理服务；物业管理（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。许可项目：第二类增值电信业务；互联网信息服务（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）。,光云科技
