date,code,open,high,low,close,volume,amount,turn,adjustflag
2020-07-20,sh.688256,250.0000000000,295.0000000000,205.6000000000,212.4000000000,24237613,5645861832.0000,77.922500,1
2020-07-21,sh.688256,208.0000000000,285.6000000000,202.0000000000,274.0000000000,17584895,4292970831.0000,56.534400,1
2020-07-22,sh.688256,260.0000000000,284.3300000000,257.7700000000,281.0000000000,12701827,3450335246.0000,40.835600,1
2020-07-23,sh.688256,274.9200000000,297.7700000000,268.0000000000,281.5000000000,9920207,2791441975.9400,31.892900,1
2020-07-24,sh.688256,273.0000000000,276.0000000000,240.4400000000,259.3300000000,11385255,2940728530.0000,36.602900,1
2020-07-27,sh.688256,252.2800000000,257.9000000000,227.9400000000,234.0100000000,8338869,2022044467.0000,26.809000,1
2020-07-28,sh.688256,236.0000000000,243.8000000000,227.5000000000,238.6400000000,5977562,1410915512.0000,19.217500,1
2020-07-29,sh.688256,234.5300000000,245.7800000000,229.6600000000,241.5000000000,5473260,1312286233.0000,17.596200,1
2020-07-30,sh.688256,240.0000000000,254.9900000000,236.3600000000,243.1700000000,6180875,1516837929.4300,19.871100,1
2020-07-31,sh.688256,238.0100000000,255.5500000000,237.1000000000,249.6000000000,5629413,1392176361.0000,18.098200,1
2020-08-03,sh.688256,250.0100000000,257.8800000000,247.0100000000,249.5000000000,6972166,1760964726.0000,22.415100,1
2020-08-04,sh.688256,250.9700000000,252.8800000000,232.9900000000,235.0000000000,5908943,1424160483.0000,18.996900,1
2020-08-05,sh.688256,246.0000000000,246.0000000000,236.7900000000,236.9200000000,4082217,985070039.2900,13.124100,1
2020-08-06,sh.688256,233.9600000000,247.4500000000,231.8000000000,243.8300000000,5013107,1211258410.3000,16.116800,1
2020-08-07,sh.688256,240.9800000000,240.9800000000,223.3700000000,227.4400000000,4853751,1119390462.0000,15.604500,1
2020-08-10,sh.688256,219.9900000000,225.8900000000,218.0000000000,222.5000000000,2517723,556920403.0000,8.094300,1
2020-08-11,sh.688256,220.8800000000,226.3000000000,219.1000000000,221.4900000000,2243543,499535721.0000,7.212900,1
2020-08-12,sh.688256,220.3300000000,222.0000000000,213.5000000000,217.7600000000,2028145,437985755.0000,6.520400,1
2020-08-13,sh.688256,219.0000000000,219.6000000000,212.0000000000,212.5000000000,1744022,375895504.0000,5.606900,1
2020-08-14,sh.688256,212.3300000000,213.9000000000,207.5000000000,212.6800000000,1653598,348869120.0000,5.316200,1
2020-08-17,sh.688256,213.0000000000,219.8000000000,209.6800000000,219.0800000000,2056219,443435980.0000,6.610600,1
