date,code,open,high,low,close,volume,amount,turn,adjustflag
2015-01-05,sz.000002,1318.4392705100,1400.8989886100,1302.8635459800,1366.0826631900,656083568,9700711936.0000,6.759095,1
2015-01-06,sz.000002,1337.6798714000,1373.4124159100,1287.2878214500,1315.6906132400,334634688,4839616000.0000,3.447469,1
2015-01-07,sz.000002,1306.5284223400,1328.5176805000,1282.7067260000,1303.7797650700,264205133,3772150816.0000,2.721891,1
2015-01-08,sz.000002,1312.0257368800,1316.6068323300,1233.2308951400,1245.1417433100,263939418,3629554240.0000,2.719153,1
2015-01-09,sz.000002,1240.5606478600,1302.8635459800,1217.6551706100,1232.3146760500,329458432,4521978368.0000,3.394142,1
2015-01-12,sz.000002,1220.4038278800,1220.4038278800,1168.1793397500,1202.0794460800,243634136,3180962976.0000,2.509964,1
2015-01-13,sz.000002,1195.6659124500,1225.9011424200,1188.3361597300,1197.4983506300,166461033,2187988112.0000,1.714913,1
2015-01-14,sz.000002,1197.4983506300,1218.5713897000,1179.1739688300,1200.2470079000,164681802,2160267872.0000,1.696583,1
2015-01-15,sz.000002,1202.9956651700,1267.1310014700,1191.0848170000,1261.6336869300,242968664,3265535904.0000,2.503108,1
2015-01-16,sz.000002,1261.6336869300,1261.6336869300,1226.8173615100,1238.7282096800,212947597,2892247312.0000,2.193826,1
2015-01-19,sz.000002,1145.2738625000,1181.9226261000,1115.0386325300,1115.0386325300,360362560,4483884544.0000,3.712522,1
2015-01-20,sz.000002,1117.7872898000,1154.4360534000,1104.9602225400,1131.5305761500,291468880,3604938304.0000,3.002767,1
2015-01-21,sz.000002,1129.6981379700,1209.4091988000,1108.6250989000,1195.6659124500,355529408,4554003968.0000,3.662730,1
2015-01-22,sz.000002,1192.9172551800,1250.6390578500,1183.7550642800,1244.2255242200,322472720,4326297856.0000,3.322174,1
2015-01-23,sz.000002,1243.3093051300,1290.9526978100,1218.5713897000,1275.3769732800,331040864,4561752576.0000,3.410445,1
2015-01-26,sz.000002,1281.7905069100,1282.7067260000,1231.3984569600,1255.2201533000,216268529,2957275792.0000,2.228039,1
2015-01-27,sz.000002,1252.4714960300,1257.0525914800,1178.2577497400,1207.5767606200,280401840,3704808992.0000,2.888752,1
2015-01-28,sz.000002,1201.1632269900,1215.8227324300,1180.0901879200,1191.0848170000,156174324,2035823392.0000,1.608937,1
2015-01-29,sz.000002,1163.5982443000,1206.6605415300,1156.2684915800,1192.0010360900,146830314,1903301552.0000,1.512673,1
2015-01-30,sz.000002,1199.3307888100,1235.9795524100,1172.7604352000,1202.0794460800,209624706,2753102016.0000,2.159593,1
2015-02-02,sz.000002,1171.8442161100,1226.8173615100,1143.4414243200,1180.0901879200,197676082,2560710640.0000,2.035709,1
2015-02-03,sz.000002,1182.8388451900,1202.9956651700,1126.9494807000,1187.4199406400,293687168,3721989136.0000,3.024451,1
2015-02-04,sz.000002,1181.9226261000,1205.7443224400,1170.0117779300,1172.7604352000,166087204,2153610320.0000,1.710400,1
2015-02-05,sz.000002,1226.8173615100,1239.6444287700,1161.7658061200,1163.5982443000,316036064,4154456496.0000,3.254605,1
2015-02-06,sz.000002,1156.2684915800,1156.2684915800,1097.6304698200,1114.1224134400,316318640,3875290944.0000,3.257515,1
2015-02-09,sz.000002,1102.2115652700,1129.6981379700,1075.6412116600,1115.9548516200,127802405,1545255552.0000,1.316136,1
2015-02-10,sz.000002,1109.5413179900,1142.5252052300,1104.0440034500,1137.9441097800,107745646,1331390480.0000,1.109587,1
2015-02-11,sz.000002,1145.2738625000,1158.1009297600,1130.6143570600,1137.0278906900,87832923,1095982272.0000,0.904522,1
2015-02-12,sz.000002,1137.0278906900,1149.8549579500,1117.7872898000,1142.5252052300,89526728,1109421120.0000,0.921965,1
2015-02-13,sz.000002,1148.9387388600,1192.0010360900,1129.6981379700,1169.0955588400,196804327,2503342416.0000,2.026732,1
2015-02-16,sz.000002,1159.9333679400,1169.0955588400,1148.0225197700,1158.1009297600,130814481,1650830640.0000,1.347155,1
2015-02-17,sz.000002,1164.5144633900,1175.5090924700,1156.2684915800,1170.0117779300,119878310,1525915120.0000,1.234532,1
2015-02-25,sz.000002,1170.0117779300,1170.0117779300,1129.6981379700,1136.1116716000,149805183,1867537056.0000,1.542725,1
