date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,tradestatus,isST
2021-01-04,sh.688012,159.0,162.9,153.68,160.49,157.59,5198113.0,826510732.72,2.1182,1.8402,1,0
2021-01-05,sh.688012,159.02,164.87,154.5,159.97,160.49,7159142.0,1133012340.93,2.9173,-0.324,1,0
2021-01-06,sh.688012,160.28,165.87,155.27,156.0,159.97,5521989.0,884325912.3,2.2502,-2.4817,1,0
2021-01-07,sh.688012,155.0,155.9,147.01,149.2,156.0,5775389.0,866235119.02,2.3534,-4.359,1,0
2021-01-08,sh.688012,150.2,152.17,145.7,150.85,149.2,3562085.0,532119559.61,1.4515,1.1059,1,0
2021-01-11,sh.688012,150.36,159.0,150.0,157.94,150.85,5739717.0,896718859.07,2.3389,4.7,1,0
2021-01-12,sh.688012,157.9,160.28,154.36,157.83,157.94,4398321.0,694080861.19,1.7923,-0.0696,1,0
2021-01-13,sh.688012,157.8,171.8,157.0,167.8,157.83,10411764.0,1738870907.2,4.2427,6.3169,1,0
2021-01-14,sh.688012,168.72,187.89,168.72,181.05,167.8,13695860.0,2462350971.85,5.581,7.8963,1,0
2021-01-15,sh.688012,182.0,193.65,172.56,175.36,181.05,14989425.0,2753497127.37,6.1081,-3.1428,1,0
2021-01-18,sh.688012,174.32,188.44,172.72,183.0,175.36,11126234.0,2006546452.22,4.5339,4.3568,1,0
2021-01-19,sh.688012,184.0,184.0,173.0,174.0,183.0,7073436.0,1264124405.41,2.8824,-4.918,1,0
2021-01-20,sh.688012,174.92,177.3,167.2,176.65,174.0,6652085.0,1140134298.71,2.7107,1.523,1,0
2021-01-21,sh.688012,174.5,177.58,170.11,174.01,176.65,5348139.0,930154148.28,2.1793,-1.4945,1,0
2021-01-22,sh.688012,173.99,175.25,163.9,168.5,174.01,5896762.0,989207395.25,2.4029,-3.1665,1,0
2021-01-25,sh.688012,166.0,172.41,162.49,168.72,168.5,5081971.0,855241644.24,2.0709,0.1306,1,0
2021-01-26,sh.688012,167.92,174.79,166.5,172.2,168.72,4593498.0,786034355.22,1.8718,2.0626,1,0
2021-01-27,sh.688012,172.82,173.41,164.5,165.51,172.2,4294081.0,718487599.88,1.7498,-3.885,1,0
2021-01-28,sh.688012,162.0,168.26,157.5,158.01,165.51,4217306.0,686015735.02,1.7185,-4.5314,1,0
2021-01-29,sh.688012,160.6,162.0,151.8,153.55,158.01,4451729.0,691111112.3,1.8141,-2.8226,1,0
2021-02-01,sh.688012,152.0,160.5,152.0,157.04,153.55,3608709.0,565194080.87,1.4705,2.2729,1,0
2021-02-02,sh.688012,157.53,157.79,153.1,154.21,157.04,3224437.0,498855202.48,1.3139,-1.8021,1,0
2021-02-03,sh.688012,154.5,154.5,145.9,146.96,154.21,6499121.0,966450992.7,2.6484,-4.7014,1,0
2021-02-04,sh.688012,145.0,148.95,140.18,145.92,146.96,5745283.0,826799337.71,2.3412,-0.7077,1,0
2021-02-05,sh.688012,146.01,147.47,135.2,135.8,145.92,6286341.0,878003540.1,2.5616,-6.9353,1,0
2021-02-08,sh.688012,135.79,138.95,134.0,134.7,135.8,4087032.0,558738898.15,1.6654,-0.81,1,0
2021-02-09,sh.688012,136.0,139.49,133.58,138.12,134.7,3161158.0,434035292.16,1.2882,2.539,1,0
2021-02-10,sh.688012,137.22,138.58,133.58,137.22,138.12,3805146.0,519524768.32,1.5506,-0.6516,1,0
2021-02-18,sh.688012,140.14,144.26,139.2,140.8,137.22,5155992.0,730483372.19,2.101,2.6089,1,0
2021-02-19,sh.688012,140.93,140.93,136.8,139.53,140.8,4863082.0,672613354.46,1.9817,-0.902,1,0
2021-02-22,sh.688012,140.73,145.0,140.73,140.9,139.53,5155178.0,734777254.52,2.1007,0.9819,1,0
2021-02-23,sh.688012,140.05,140.05,136.0,137.52,140.9,4409751.0,605278247.02,1.7969,-2.3989,1,0
2021-02-24,sh.688012,137.01,140.53,136.16,137.5,137.52,5112792.0,705825762.35,2.0834,-0.0145,1,0
2021-02-25,sh.688012,139.57,139.58,130.32,130.58,137.5,6657606.0,890456554.35,2.7129,-5.0327,1,0
2021-02-26,sh.688012,127.5,129.44,124.66,124.75,130.58,5641495.0,712793884.5,2.2989,-4.4647,1,0
2021-03-01,sh.688012,126.07,128.98,126.02,128.8,124.75,4311348.0,550774891.73,1.7568,3.2465,1,0
2021-03-02,sh.688012,132.0,133.25,126.51,128.8,128.8,5491258.0,709706159.3,2.2377,0.0,1,0
2021-03-03,sh.688012,128.5,128.5,125.5,127.62,128.8,3335814.0,422810081.01,1.3593,-0.9161,1,0
2021-03-04,sh.688012,128.55,130.02,121.3,121.31,127.62,6817819.0,848944458.09,2.7782,-4.9444,1,0
2021-03-05,sh.688012,121.0,123.5,118.0,121.03,121.31,4210144.0,510640429.91,1.7156,-0.2308,1,0
2021-03-08,sh.688012,121.59,122.49,112.37,112.68,121.03,6142885.0,718797490.13,2.5032,-6.8991,1,0
2021-03-09,sh.688012,112.0,113.89,104.7,104.95,112.68,5544371.0,599998945.66,2.2593,-6.8601,1,0
2021-03-10,sh.688012,109.0,109.88,105.0,105.21,104.95,4271682.0,459365206.27,1.7407,0.2477,1,0
2021-03-11,sh.688012,106.57,113.5,102.6,111.83,105.21,6394649.0,698301562.85,2.6058,6.2922,1,0
2021-03-12,sh.688012,111.0,111.0,105.77,106.34,111.83,4851489.0,520716031.75,1.977,-4.9092,1,0
2021-03-15,sh.688012,106.0,106.71,101.0,102.02,106.34,3930936.0,403561556.44,1.6018,-4.0624,1,0
2021-03-16,sh.688012,103.0,103.77,99.89,102.63,102.02,3013114.0,307297168.68,1.2278,0.5979,1,0
2021-03-17,sh.688012,102.63,105.52,101.41,104.56,102.63,3369170.0,350556575.65,1.3729,1.8805,1,0
2021-03-18,sh.688012,104.8,105.4,103.11,104.47,104.56,2481891.0,258868617.91,1.0114,-0.0861,1,0
2021-03-19,sh.688012,101.57,106.58,101.56,104.66,104.47,2802123.0,292691750.78,1.1418,0.1819,1,0
2021-03-22,sh.688012,104.38,105.55,103.01,105.52,104.66,2114106.0,221600067.95,0.8615,0.8217,1,0
2021-03-23,sh.688012,106.0,110.57,105.61,105.99,105.52,4299226.0,463749988.94,1.7519,0.4454,1,0
2021-03-24,sh.688012,104.6,105.0,100.68,100.7,105.99,3688628.0,376736532.69,1.5031,-4.991,1,0
2021-03-25,sh.688012,98.61,102.47,98.18,98.71,100.7,3351823.0,336315106.44,1.3658,-1.9762,1,0
2021-03-26,sh.688012,99.58,103.56,98.71,103.26,98.71,4979032.0,504119191.64,2.0289,4.6095,1,0
2021-03-29,sh.688012,103.52,106.5,102.81,104.0,103.26,3209232.0,335720389.07,1.3077,0.7166,1,0
2021-03-30,sh.688012,104.03,105.55,102.38,102.86,104.0,2777037.0,287745416.64,1.1316,-1.0962,1,0
2021-03-31,sh.688012,103.3,108.35,103.0,107.51,102.86,5414602.0,573935688.11,2.2064,4.5207,1,0
2021-04-01,sh.688012,108.0,119.0,107.2,114.9,107.51,8802216.0,1004073627.49,3.5868,6.8738,1,0
2021-04-02,sh.688012,112.0,120.83,112.0,118.88,114.9,10334806.0,1215914378.71,4.2114,3.4639,1,0
2021-04-06,sh.688012,118.59,119.68,115.8,118.35,118.88,4407488.0,519071965.52,1.796,-0.4458,1,0
2021-04-07,sh.688012,118.91,126.26,116.73,124.55,118.35,7221398.0,887535686.41,2.9427,5.2387,1,0
2021-04-08,sh.688012,123.3,126.88,121.11,121.82,124.55,4520629.0,558061647.47,1.8421,-2.1919,1,0
2021-04-09,sh.688012,121.88,123.9,118.6,119.0,121.82,3890519.0,468479375.5,1.5854,-2.3149,1,0
2021-04-12,sh.688012,119.81,122.5,115.71,116.45,119.0,3159342.0,373848716.66,1.2874,-2.1429,1,0
2021-04-13,sh.688012,115.48,118.3,113.25,113.7,116.45,2892906.0,333994854.71,1.1788,-2.3615,1,0
2021-04-14,sh.688012,113.97,116.29,113.25,115.14,113.7,2247559.0,257744219.11,0.9159,1.2665,1,0
2021-04-15,sh.688012,114.0,121.0,112.5,118.78,115.14,4247366.0,495755586.42,1.7308,3.1614,1,0
2021-04-16,sh.688012,118.0,120.0,116.28,117.76,118.78,2799082.0,329700856.13,1.1406,-0.8587,1,0
2021-04-19,sh.688012,117.01,123.45,115.5,122.3,117.76,4730784.0,572228619.63,1.9278,3.8553,1,0
